Country Name,Country Code,Series Name,Series Code,1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1393674332154.37,1764967948916.6,1861873895109.02,2123130870381.97,2068555542410.98,2205966011811.5,2591620035485.19,2503665193657.4,2218689375140.99,2243225519617.65,2199957383336.88,1949953934033.54,1950648769574.94,2079136081309.99,2505733634311.51,2819245095604.67,2861410272354.18,3002446368084.31,3439953462907.2,3752365607148.09,3418005001389.27,3417094562648.95,3757698281117.55,3543983909148.01,3752513503278.41,3898726503841.35,3381389338658.82,3495162856297.22,3693204332229.78,..
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.89655172419432,5.25500608609781,5.10826150794557,1.92380701113764,-0.956165307017542,2.45737182000687,1.73764063121563,0.817897617014211,1.84920066980847,1.97961840703675,1.98713494928661,2.96204536784524,1.69547145188611,0,-0.709906171880789,1.16997041286515,0.70671394810023,3.70015957205484,3.26053529682157,1.08231540391905,-5.61886043465857,4.07993330487069,3.66000015503516,0.491992829138056,0.489584482494635,2.17806656078447,1.73896761850342,2.2422350985948,2.15710947029994,..
Germany,DEU,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..,..,..,..,..,..,98.7,98.6,98.6,98.6,98.6,98.2,98.2,98.4,98.4,98.5,98.3,98.3,98.3,98.5,98.5,98.5,98.7,..,..,..
Germany,DEU,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.2,11.4,10.4,10,9.8,9.5,9.4,9.7,9.9,9.6,9.4,9.3,8.9,8.7,8.6,8.6,8.3,8.2,8.3,8.3,8.1,8.3,8.3,8.4,8.5,8.8,9,9.6,9.5,..
Germany,DEU,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.4656014058791,4.95667680390926,4.07970831477805,2.3643005281719,-1.35735709617177,2.32693823898384,1.89274334391544,0.529365209761551,0.970993821585765,2.27169230356085,1.70058820285138,1.72753739620792,0.997213325325987,-0.0296709650467193,-0.148854270389521,3.43973959197477,0.352610750026599,4.10189315056999,3.0997677899999,-0.599488794563172,-4.25543872229429,3.51855228233174,3.57789625415043,0.170273992853168,0.628306687290348,2.54906520263292,2.94516669883042,2.684310901402,2.00805778590778,..
Germany,DEU,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,..,..,..,..,..,..,5.5,5.03380012512207,4.26119995117188,4.13269996643066,4.26090002059937,4.97359991073608,5.39589977264404,5.51039981842041,4.79250001907349,3.81920003890991,3.31209993362427,3.3914999961853,3.02069997787476,2.37450003623962,2.31200003623962,2.3478000164032,2.46589994430542,2.32220005989075,2.18680000305176,1.97720003128052,..
Germany,DEU,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,..,..,..,..,..,..,14.9300003051758,13.8888998031616,12.5299997329712,11.548999786377,13.3373003005981,15.7264003753662,17.6219997406006,19.1189002990723,18.6315002441406,16.9841995239258,15.2974996566772,15.6218004226685,14.6850996017456,12.9364004135132,12.1919002532959,11.7945003509521,11.7082996368408,11.1485004425049,10.0605001449585,9.43920040130615,..
Germany,DEU,"Trained teachers in secondary education, female (% of female teachers)",SE.SEC.TCAQ.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Trained teachers in upper secondary education (% of total teachers),SE.SEC.TCAQ.UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,23.00381359577,23.1156920849808,24.2447145208254,22.7863176273506,20.2898973435132,20.9379387965841,21.5382751937985,22.0881265833299,24.2090600836769,25.1294946562087,26.328212777498,30.5604588751134,30.1071174622107,28.1989688995107,28.9276512558106,30.4076860064652,32.6807367679911,35.8918207458477,36.3606196010711,37.4850297063715,32.8628448794446,37.0527042006775,39.929562875492,39.8922146570664,39.4385473278985,38.7204407556005,38.8522267339268,38.0651633831791,39.4864737866685,..
Germany,DEU,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,..,..,..,-0.731190744569531,-5.45054754231096,3.05552211671245,-0.616026289221097,-2.90349514715938,2.01992950724161,0.146673520434931,0.456124412296745,4.61655283519057,-0.565876377175314,-1.83550811551912,-0.338842621115688,2.92025515208026,0.378054549343389,5.03369264002392,3.90116768924693,-1.16525058543803,-13.5329150372603,14.4132509602105,5.18617642606836,-0.378679137951508,-0.689259683675019,4.66778954423013,2.18180519564442,4.40727691150231,2.39609173318127,..
Germany,DEU,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..,..,..,..,..,..,..,..,..,..,1827.55571841,1831.82406631,1987.67961234,2433.51919104,2618.879578,2689.00260965,2776.65399024,3136.48948767,3496.21906491,3871.075052,3831.77132706,4176.6895467,3948.94504754,4269.11824862,4455.15160723,3884.4601508,3991.60343916,..,..
